Abbreviation,Description
RCM,RELIABILITY CENTERED MAINTENANCE
RCO,REMOTE COMMUNICATIONS OUTLET
RCR,REVERSE CURRENT RELAY
RCU,REMOTE CONTROL UNIT
RCVR,RECEIVER
RDAT,DIGITIZED RADAR DATA
RDH,REFERENCE DATUM HEIGHT FOR ILS
RDMI,RADIO DISTANCE MAGNETIC INDICATOR
RDP,RADAR DATA PROCESSING
RDR,RADAR
RDSIM,RUNWAY DELAY SIMULATION MODEL
RDVS,RAPID DEPLOYMENT VOICE SWITCH
REIL,RUNWAY END IDENTIFICATION LIGHT
RF,RADIO FREQUENCY
RFC,RADIO FREQUENCY COMPATIBILITY
RFF,RESCUE AND FIRE FIGHTING
RFFS,RESCUE AND FIREFIGHTING SERVICE
RFI,RADIO FREQUENCY INTERFERENCE
RGB,REDUCTION GEAR BOX
RH,RIGHT HAND
RHSM,REDUCED HORIZONTAL SEPARATION MINIMAL
RLG,RING LASER GYROSCOPE
RLY,RELAY
RMI,RADIO MAGNETIC INDICATOR
RML,RADAR MICROWAVE LINK
RMLR,RADAR MICROWAVE LINK REPEATER
RMLS,REMOTE MONITORING AND LOGGING SYSTEM RADAR MICROWAVE LINK
RMLT,RADAR MICROWAVE LINK TERMINAL
RMP,RADIO MANAGEMENT PANEL
RNAV,NAVIGATION
ROT,RUNWAY OCCUPANCY TIME
RPC,RESTORATION PRIORITY CODE
RPZ,RUNWAY PROTECTION ZONE
RR,LOW OR MEDIUM FREQUENCY RADIO RANGE STATION
RRCS,REMOTE RADIO CONTROL SYSTEM
RRH,REMOTE READING HYGROTHERMOMETER
RRHS,REMOTE READING HYDROMETER
RRWDS,REMOTE RADAR WEATHER DISPLAY
RRWSS,RWDS SENSOR SITE
RSA,RUNWAY SAFETY AREA
RSL,RUNWAY STATUS LIGHT
RSP,REVERSION SWITCH PANEL
RSR,ENROUTE SURVEILLANCE RADAR
RSS,REMOTE SPEAKING SYSTEM
RT,REMOTE TRANSMITTER
RT&BTL,RADAR TRACKING AND BEACON TRACKING LEVEL
RTAD,REMOTE TOWER ALPHANUMERIC DISPLAY
RTB,RETURN TO BASE
RTCA,RADIO TECHNICAL COMMISSION FOR AERONAUTICS
RTDS,RADAR TERMINAL DISPLAY SYSTEM
RTE,ROUTE
RTF,RADIOTELEPHONY
RTL,RUDDER TRAVEL LIMITING
RTO,REJECTED TAKE OFF
RTOW,REGULATORY TAKE OFF WEIGHT
RTR,REMOTE TRANSMITTER RECEIVER
RTRD,REMOTE TOWER RADAR DISPLAY
RTS,RETURN TO SERVICE
RUC,RAPID UPDATE CYCLE
RVDT,ROTARY VARIABLE DIFFERENTIAL TRANSFORMER
RVM,RADAR VIDEO MAP
RVR,RUNWAY VISUAL RANGE
RVSM,REDUCED VERTICAL SEPARATION MINIMUM
RWP,REALTIME WEATHER PROCESSOR
RWSL,RUNWAY STATUS LIGHT
RWY,RUNWAY
RX,RECEIVER
S,SOUTH
S/G,STARTER GENERATOR
SAFI,SEMI AUTOMATIC FLIGHT INSPECTION
SAGA,SYSTEM SAFETY APPROACH FOR GENERAL AVIATION
SAI,SAFETY ATTRIBUTE INSPECTION
SALS,SHORT APPROACH LIGHT SYSTEM
SAMS,SPECIAL USE AIRSPACE MANAGEMENT SYSTEM
SAPS,STAFFING AND PERSONNEL SYSTEM
SAR,SURVEILLANCE APPROACH RADAR
SAS,STABILITY AUGMENTATION SYSTEM
SASO,SYSTEM APPROACH FOR SAFETY OVERSIGHT
SATCOM,SATELLITE COMMUNICATION
SATNAV,SATELLITE NAVIGATION
SAVES,SAVES
SAWRS,SUPPLEMENTAL AVIATION WEATHER REPORTING SERVICE
SBIR,SMALL BUSINESS INNOVATION RESEARCH
SBS,SURVEILLANCE BROADCAST SERVICE
SBT,SCENARIO BASED TRAINING
SC,SPECIAL CONDITION
SCADA,SUPERVISORY CONTROL AND DATA ACQUISITION
SCCM,SENIOR CABIN CREW MEMBER
SCT,SOUTHERN CALIFORNIA AREA TRACON METROPLEX
SCVTS,SWITCHED COMPRESSED VIDEO TELECOMMUNICATIONS SERVICE
SDF,SIMPLIFIED DIRECTION FINDING
SDIS,SWITCHED DIGITAL INTEGRATED SERVICE
SDS,SWITCHED DATA SERVICE
SDU,SATELLITE DATA UNIT
SE,DIRECTION
SEC,SECONDS
SECRA,SECONDARY RADAR
SELCAL,SELECTIVE CALLING
SELF,SIMPLIFIED SHORT APPROACH LIGHTING SYSTEM WITH SEQUENCED FLASHING LIGHTS
SEP,SINGLE ENGINE PISTON
SFCC,SLAT FLAP CONTROL COMPUTER
SIC,SERVICE INITIATION CHARGE
SID,STANDARD INSTRUMENT DEPARTURE
SIGMET,SIGNIFICANT METEOROLOGICAL INFORMATION
SIMMOD,AIRPORT AND AIRSPACE SIMULATION MODEL
SIU,SATELLITE INTERFACE UNIT
SLPC,SINGLE LEVER POWER CONTROL
SMGC,SURFACE MOVEMENT GUIDANCE AND CONTROL
SMGCS,SURFACE MOVEMENT GUIDANCE AND CONTROL SYSTEM
SMM,SAFETY MANAGEMENT DOCUMENT ICAO
SMMC,SYSTEM MAINTENANCE MONITOR CONSOLE
SMOH,SINCE MAJOR OVERHAUL
SMPS,SECTOR MAINTENANCE PROCESSOR SUBSYSTEM
SMR,SURFACE MOVEMENT RADAR
SMS,SIMULATION MODELING SYSTEM
SNR,SIGNAL TO NOISE RATIO
SNT,STAFFED NEXTGEN TOWER
SOC,START OF CLIMB AT MISSED APPROACH
SODPRO,SIMULTANEOUS OPPOSITE DIRECTION PARALLEL RUNWAY OPERATIONS
SOG,GROUND SPEED
SOIR,SIMULTANEOUS OPERATIONS ON INTERSECTING RUNWAYS
SOIWR,SIMULTANEOUS OPERATIONS ON INTERSECTING WET RUNWAYS
SOUTH,SOUTH
SOUTHBOUND,SOUTH BOUND
SOUTH-BOUND,SOUTH BOUND
SOUTHEAST,SOUTH EAST BOUND
SOUTHEASTBOUND,SOUTH EAST BOUND
SOUTHEAST-BOUND,SOUTH EAST BOUND
SOUTHEASTERLY,SOUTH EAST BOUND
SOUTHERLY,SOUTH BOUND
SOUTHWEST,SOUTH WEST BOUND
SOUTHWESTBOUND,SOUTH WEST BOUND
SOUTHWEST-BOUND,SOUTH WEST BOUND
SOUTHWESTERLY,SOUTH WEST BOUND
SP,SURVEILLANCE PROCESSING
SPAS,SYSTEM PERFORMANCE ANALYSIS SYSTEM
SPIFR,SINGLE PILOT IFR
SPKR,SPEAKER
SQ,SQUELCH
SQL,SQUELCH
SR,SUNRISE
SRAP,SENSOR RECEIVER AND PROCESSOR
SRT,SAFETY RISK TEAM
SRTM,SHUTTLE RADAR TOPOGRAPHY MISSION
SS,SUNSET
SSALF,SIMPLIFIED SHORT APPROACH LIGHT SYSTEM
SSALR,SIMPLIFIED SHORT APPROACH LIGHT SYSTEM
SSALS,SIMPLIFIED SHORT APPROACH LIGHT SYSTEM
SSALSR,SIMPLIFIED SHORT APPROACH LIGHT SYSTEM
SSB,SINGLE SIDE BAND
SSCV/DR,SOLID STATE COCKPIT VOICE DATA RECORDER
SSCVR,SOLID STATE COCKPIT VOICE RECORDER
SSFDR,SOLID STATE FLIGHT DATA RECORDER
SSR,SECONDARY SURVEILLANCE RADAR
STD,STANDARD
STMUX,STATISTICAL DATA MULTIPLEXER
STOL,SHORT TAKE OFF AND LANDING
STP,STANDARD TEMPERATURE AND PRESSURE
STS,SPEED TRIM SYSTEM
STVS,SMALL TOWER VOICE SWITCH
SURPIC,SURFACE PICTURE
SVCA,SERVICE
SVCB,SERVICE
SVCC,SERVICE
SVCO,SERVICE
SVFB,INTERPHONE SERVICE
SVFC,INTERPHONE SERVICE
SVFD,INTERPHONE SERVICE
SVFO,INTERPHONE SERVICE
SVFR,SPECIAL VISUAL FLIGHT RULES
SW,DIRECTION
T/A,TRAFFIC COLLISION AVOIDANCE SYSTEM
T/R,THRUST REVERSER OR TAIL ROTOR
TA,TRAFFIC COLLISION AVOIDANCE SYSTEM
TAA,TERMINAL ARRIVAL ALTITUDE
TAAS,TERMINAL ADVANCE AUTOMATION SYSTEM
TAC,THRUST ASYMMETRY COMPENSATION
TACAN,TACTICAL AIRCRAFT CONTROL AND NAVIGATION
TACH,TACHOMETER
TACR,TACAN AT VOR TACAN ONLY
TAD,TERRAIN AWARENESS DISPLAY
TAF,TERMINAL AREA FORECAST
TAI,THERMAL ANTI ICE
TAM,TOTAL AIRPORT MANAGEMENT
TAMR,TERMINAL AUTOMATION MODERNIZATION AND REPLACEMENT
TAR,TERMINAL APPROACH RADAR
TAS,TRUE AIR SPEED
TAT,TOTAL AIR TEMPERATURE
TATCA,TERMINAL AIR TRAFFIC CONTROL AUTOMATION
TAVT,TERMINAL AIRSPACE VISUALIZATION TOOL
TAWS,TERRAIN AWARENESS AND WARNING SYSTEM
TBFM,TIME BASED FLOW MANAGEMENT
TBO,TIME BETWEEN OVERHAULS
TBV,TRANSIENT BLEED VALVE
TC,TRUE COURSE
TCA,TERMINAL CONTROL AREA
TCAS,TRAFFIC ALERT AND COLLISION AVOIDANCE SYSTEM
TCCC,TOWER CONTROL COMPUTER COMPLEX
TCDS,TYPE CERTIFICATE DATA SHEET
TCE,TONE CONTROL EQUIPMENT
TCF,TERRAIN CLEARANCE FLOOR
TCH,THRESHOLD CROSSING HEIGHT
TCI,THRUST COMPUTER INDICATOR
TCLT,TENTATIVE CALCULATED LANDING TIME
TCN,TACTICAL AIRCRAFT CONTROL AND NAVIGATION
TCOM,TERMINAL COMMUNICATIONS
TCS,TOWER COMMUNICATIONS SYSTEM
TCU,TACAN CONTROL UNIT
TCVR,TRANSCEIVER
TDDS,TERMINAL DATA DISPLAY SYSTEM
TDLS,TOWER DATA-LINK SERVICE
TDMUX,TIME DIVISION DATA MULTIPLEXER
TDOP,TIME DILUTION OF PRECISION
TDR,TRANSPONDER
TDWR,TERMINAL DOPPLER WEATHER RADAR
TDZ,TOUCHDOWN ZONE
TDZL,TOUCHDOWN ZONE LIGHT
TERP,TERMINAL INSTRUMENT PROCEDURE
TERPS,TERMINAL INSTRUMENT PROCEDURE
TFAC,TO FACILITY
TFC,TRAFFIC
TFM,TRAFFIC FLOW MANAGEMENT
TFMS,TRAFFIC FLOW MANAGEMENT SYSTEM
TFR,TEMPORARY FLIGHT RESTRICTION
TFT,THIN-FILM TRANSISTOR
TGB,TRANSFER GEARBOX
TGL,TEMPORARY GUIDANCE LEAFLET
TGL(S),TOUCH-AND-GO LANDING
TGT,TURBINE GAS TEMPERATURE OR TARGET
TH,TRUE HEADING
THDG,TRUE HEADING
THLD,THRESHOLD
THR,RUNWAY THRESHOLD
THS,TRIMMABLE HORIZONTAL STABILIZER TAILPLANE
TIA,TYPE INSPECTION AUTHORIZATION
TIB,TECHNICAL INSTRUCTION BOOK
TIMS,TELECOMMUNICATIONS INFORMATION MANAGEMENT SYSTEM
TIPH,TAXI INTO POSITION AND HOLD
TIR,TYPE INSPECTION REPORT
TIS,TRAFFIC INFORMATION SERVICE
TIT,TURBINE INLET TEMPERATURE
TK,TRACK ANGLE
TKE,TRACK ANGLE ERROR
TL,TAXILANE
TLA,THRUST LEVER ANGLE
TLD,TIME LIMITED DISPATCH
TLS,TRANSPONDER LANDING SYSTEM
TMG,TOURING MOTOR GLIDER
TML,TELEVISION MICROWAVE LINK
TMLI,TELEVISION MICROWAVE LINK INDICATOR
TMLR,TELEVISION MICROWAVE LINK REPEATER
TMLT,TELEVISION MICROWAVE LINK TERMINAL
TMP,TRAFFIC MANAGEMENT PROCESSOR
TMS,TRAFFIC MANAGEMENT SYSTEM
TMU,TRAFFIC MANAGEMENT UNIT
TMZ,TRANSPONDER MANDATORY ZONE
TNAV,TERMINAL NAVIGATIONAL AIDS
TO/GA,TAKE OFF GO AROUND
TOC,TOP OF CLIMB
TOD,TOP OF DESCENT POINT
TODA,TAKE OFF DISTANCE AVAILABLE
TOF,TIME OF FLIGHT
TOFMS,TIME OF FLIGHT MASS SPECTROMETER
TOGA OR TO/GA,TAKE OFF GO AROUND SWITCH TAKE OFF GO AROUND THRUST
TOR,TAKE OFF RUNWAY
TORA,TAKE OFF RUNWAY AVAILABLE
TOT,TURBINE OUTLET TEMPERATURE
TOW,TAKE OFF WEIGHT
TOWS,TAKE OFF WARNING SYSTEM
TP,TRACK PROCESSING
TRA,TEMPORARY RESERVED AREA AIRSPACE
TRACAB,TERMINAL RADAR APPROACH CONTROL IN TOWER CAB
TRACON,TERMINAL RADAR APPROACH CONTROL
TRAD,TERMINAL RADAR SERVICE
TRK,TRACK
TRP,THRUST RATING PANEL
TSA,TAXIWAY SAFETY AREA
TSARTS,TERMINAL STAND ALONE RADAR TRAINING SYSTEM
TSD,TRAFFIC SITUATION DISPLAY
TSEC,TERMINAL SECONDARY RADAR SERVICE
TSS,TOWER SIMULATION SYSTEM
TSYS,TERMINAL EQUIPMENT SYSTEM
TTAF,TOTAL TIME AIR FRAME
TTL,TUNED TO LOCALIZER
TTR,TRAFFIC ALERT AND COLLISION AVOIDANCE SYSTEM TRANSMITTER RECEIVER
TTS,TIME TO STATION
TTSN,TOTAL TIME SINCE NEW
TTSO,TOTAL TIME SINCE OVERHAUL
TTY,TELETYPE
TUR,TIME UTILIZATION REPORT
TVE,TOTAL VERTICAL ERROR
TVOR,VERY HIGH FREQUENCY TERMINAL OMNIRANGE STATION
TVSR,TERMINAL VOICE SWITCH REPLACEMENT
TW,TAXIWAY
TWB,TRANSCRIBED WEATHER BROADCASTS
TWC,TAIL WIND COMPONENT
TWDL,TWO WAY DATA LINK TERMINAL WEATHER DATA LINK
TWDR,TERMINAL DOPPLER WEATHER RADAR
TWEB,TRANSCRIBED WEATHER BROADCAST
TWIP,TERMINAL WEATHER INFORMATION FOR PILOTS
TWLU,TERMINAL WIRELESS LAN UNIT
TWR,TOWER OR TERMIANL WEATHER RADAR
TWY,TAXIWAY
TX,TRANSMITTER
TY,TYPE FAACIS
UA,UNMANNED AIRCRAFT
UAC,UPPER AREA CONTROL
UART,UNIVERSAL ASYNCHRONOUS RECEIVER TRANSMITTER
UAS,UNMANNED AIRCRAFT SYSTEM
UAT,UNIVERSAL ACCESS TRANSCEIVER
UHF,ULTRA HIGH FREQUENCY
UIR,UPPER INFORMATION REGION
ULB,UNDERWATER LOCATOR BEACON
UPR,USER PREFERRED ROUTE
UPS,UNINTERRUPTABLE POWER SUPPLY
UPT,USER PREFERRED TRAJECTORY
URA,URA
URET,USER REQUEST EVALUATION TOOL
V,VOLTS
V&V,VIDEO  VISION
V/L,VOR LOCALIZER
V/NAV,VERTICAL NAVIGATION
V/PD,VEHICLE PEDESTRIAN DEVIATION
V/R,VOLTAGE REGULATOR
V/REF,REFERENCE VELOCITY
V/S,VERTICAL SPEED
V/TRK,VERTICAL TRACK
V1,SPEED AT OR ABOVE WHICH TAKE OFF CANNOT BE SAFELY INTERRUPTED
V2,SPEED AT OR ABOVE WHICH TAKE OFF CAN BE DONE WITH ONE ENGINE OUT
V2MIN,MINIMUM TAKE OFF SAFETY SPEED
VA,MANEUVERING SPEED
VALE,VOLUNTARY AIRPORT LOW EMISSION
VASI,VISUAL APPROACH SLOPE INDICATOR
VASIS,VISUAL APPROACH SLOPE INDICATOR (SYSTEM)
VB,DESIGN SPEED FOR MAXIMUM GUST INTENSITY
VBV,VARIABLE BLEED VALVE
VC,DESIGN CRUISING SPEED
VCR,VISUAL CONTROL ROOM
VCS,VEHICLE CONTROL SERVICE
VD,DESIGN DIVING SPEED
VDF,VERY HIGH FREQUENCY DIRECTION FINDING STATION
VDF/MDF,DEMONSTRATED FLIGHT DIVING SPEED
VDL,VERY HIGH FREQUENCY DATA LINK
VDME,VERY HIGH FREQUENCY OMNIDIRECTIONAL RANGE WITH DISTANCE MEASURING EQUIPMENT
VDP,VISUAL DESCENT POINT
VDR,VHF DIGITAL RADIO
VDRP,VOLUNTARY DISCLOSURE REPORTING PROGRAM
VEARS,VSCS EMERGENCY ACCESS RADIO SYSTEM
VEF,THE SPEED AT WHICH THE CRITICAL ENGINE IS ASSUMED TO FAIL DURING TAKE OFF
VF,VOICE FREQUENCY
VFC/MFC,MAXIMUM SPEED FOR STABILITY CHARACTERISTICS
VFE,MAXIMUM FLAPS EXTENDED SPEED
VFO,VARIABLE FREQUENCY OSCILLATOR
VFR,VISUAL FLIGHT RULES
VFTO,FINAL TAKE OFF SPEED
VG,VORTEX GENERATOR
VG/DG,VERTICAL GYROSCOPE DIRECTIONAL GYROSCOPE
VGA,VIDEO GRAPHICS ARRAY
VGM,VOICE GENERATOR MODULE
VGSI,VISUAL GLIDE SLOPE INDICATOR
VH,MAXIMUM SPEED IN LEVEL FLIGHT WITH MAXIMUM CONTINUOUS POWER
VHF,VERY HIGH FREQUENCY
VID,VISIBLE IMPACT DAMAGE
VIGV,VARIABLE INLET GUIDE VANE
VLE,MAXIMUM LANDING GEAR EXTENSION SPEED
VLF,VERY LOW FREQUENCY
VLJ,VERY LIGHT JET
VLO,MAXIMUM LANDING GEAR OPERATING SPEED
VLOF,LIFT OFF SPEED
VMC,MINIMUM CONTROL SPEED
VMCA,VELOCITY OF MINIMUM CONTROL IN THE AIR
VMCG,VELOCITY OF MINIMUM CONTROL ON GROUND
VMO,MAXIMUM OPERATING SPEED
VMS,VIRTUAL MEMORY SYSTEM
VMU,MINIMUM UNSTICK SPEED
VNAV,VERTICAL NAVIGATION
VNAV,VISUAL NAVIGATIONAL AIDS
VNC,VISUAL FLIGHT RULES NAVIGATION CHART
VNE,NEVER EXCEED SPEED
VNO,MAXIMUM STRUCTURAL CRUISING SPEED
VNR,VHF NAVIGATION RECEIVER
VNTSC,VOLPE NATIONAL TRANSPORTATION SYSTEM CENTER
VON,VIRTUAL ON NET
VOR,VERY HIGH FREQUENCY OMNIDIRECTIONAL RANGE
VOR/MB,VERY HIGH FREQUENCY OMNIDIRECTIONAL RANGE MARKER BEACON
VORTAC,VERY HIGH FREQUENCY OMNIDIRECTIONAL RANGE COLLOCATED TACTICAL AIR
VOT,VERY HIGH FREQUENCY OMNIDIRECTIONAL RANGE TEST FACILITY
VOX,VOICE TRANSMISSION
VP/D,VEHICLE PEDESTRIAN DEVIATION
VPA,VERTICAL PATH APPROACH
VPATH,VERTICAL PATH
VR,ROTATE SPEED
VRA,ROUGH AIR SPEED
VREF,REFERENCE LANDING SPEED
VRP,VISUAL POINT OF REFERENCE
VRRP,VOICE RECORDER REPLACEMENT PROGRAM
VRS,VOICE RECORDING SYSTEM
VS,STALL SPEED
VS0,STALL SPEED
VS1,STALL SPEED
VSBP,VOICE SWITCH BYPASS
VSCF,VARIABLE SPEED CONSTANT FREQUENCY
VSCS,VOICE SWITCHING AND CONTROL SYSTEM
VSI,VERTICAL SPEED INDICATOR
VSM,VERTICAL SEPARATION LIMIT
VSO,STALL SPEED
VSR,REFERENCE STALL SPEED
VSRO,REFERENCE STALL SPEED
VSV,VARIABLE STATOR VANE
VSW,SPEED AT WHICH ONSET OF NATURAL OR ARTIFICIAL STALL WARNING OCCURS
VSWR,VOLTAGE STANDING WAVE RATIO
VTA,VFR TERMINAL AREA CHART
VTAC,VERY HIGH FREQUENCY OMNIDIRECTIONAL RANGE COLLOCATED WITH TACAN
VTOL,VERTICAL TAKE OFF AND LANDING
VTOSS,TAKE OFF SAFETY SPEED FOR CATEGORY A ROTORCRAFT
VTS,VOICE TELECOMMUNICATIONS SYSTEM
VVI,VERTICAL VELOCITY INDICATOR
VX,BEST ANGLE OF CLIMB SPEED
VY,BEST RATE OF CLIMB SPEED
W,WEST
W&B,WEIGHT BALANCE
WAAS,WIDE AREA AUGMENTATION SYSTEM
WAC,WORLD AERONAUTICAL CHART
WADGPS,WIDE AREA DIFFERENTIAL GLOBAL POSITIONING SYSTEM
WARP,WEATHER AND RADAR PROCESSOR
WASS,WIDE AREA AUGMENTATION SYSTEM GPS
WAT,WEIGHT ALTITUDE TEMPERATURE TAKE OFF PERFORMANCE
WCA,WIND CORRECTION ANGLE
WCAM,WEATHER CAMERA
WCIS,WORKMENS COMPENSATION INFORMATION SYSTEM
WCP,WEATHER COMMUNICATIONS PROCESSOR
WD,WIND DIRECTION
WDM,WIRING DIAGRAM MANUAL
WEF,WITH EFFECT FROM
WESCOM,WESTERN ELECTRIC SATELLITE COMMUNICATIONS
WEST,WEST
WESTBOUND,WEST BOUND
WEST-BOUND,WEST BOUND
WESTERLY,WEST BOUND
WFD,WIDESPREAD FATIGUE DAMAGE
WI,WORK INSTRUCTION
WINDR,WIND DIRECTION
WMA,WEATHER RADAR SYSTEM WAVEGUIDE ADAPTER
WMI,WEATHER RADAR SYSTEM INDICATOR MOUNT
WMS,WEB MAP SERVICE
WMSC,WEATHER MESSAGE SWITCHING CENTER
WMSCR,WEATHER MESSAGE SWITCHING CENTER REPLACEMENT
WOCL,WINDOW OF CIRCADIAN LOW
WOFW,WEIGHT OFF WHEELS
WONW,WEIGHT ON WHEELS
WPT,WAYPOINT
WRT,WEATHER RADAR SYSTEM RECEIVER TRANSMITTER
WS,WIND SHEAR
WSP,WEATHER SYSTEM PROCESSOR
WSR,WEATHER SURVEILLANCE RADAR
WTC,WAKE TURBULENCE CATEGORY
WTHR,WEATHER
WX,WEATHER
WXR,WEATHER RADAR SYSTEM
WYPT,WAYPOINT
XCVR,TRANSCEIVER
XFR,TRANSFER
XMIT,TRANSMIT
XML,EXTENSIBLE MARKUP LANGUAGE
XMSN,TRANSMISSION
XMTR,TRANSMITTER
XPDR,TRANSPONDER
XPNDR,TRANSPONDER
XSTART,CROSS START USE THE AIR PRESSURE OR ELECTRICAL POWER FROM A WORKING ENGINE
X-START,CROSS START USE THE AIR PRESSURE OR ELECTRICAL POWER FROM A WORKING ENGINE
XTK,CROSSTRACK
Y,YAW
Y/D,YAW DAMPER
YD,YAW DAMPER
Z,ZULU
ZFW,ZERO FUEL WEIGHT
ZULU,ZULU
